name,SAFE total score,number of enriched nodes,number of enriched samples,SAFE enriched score,enriched abundance ratio,enriched SAFE score ratio
unclassified_Flavobacteriaceae,1.329002489684047,0,0,0.0,0.0,0.0
unclassified_Fusobacteriaceae,10.556242097070895,0,0,0.0,0.0,0.0
unclassified_Geminicoccus,12.352391280701166,0,0,0.0,0.0,0.0
unclassified_Geobacteraceae,13.950985567671541,16,54,10.577808866207086,0.25,0.758212300836933
unclassified_Gilvimarinus,16.18434038823512,17,52,11.18810226830604,0.24731182795698925,0.6912918290101587
unclassified_Gracilibacteraceae,30.645418459605168,26,69,16.88856559284243,0.2034561164165536,0.551095936741861
unclassified_Granulosicoccaceae,0.0,0,0,0.0,0.0,
unclassified_Hahellaceae,22.629666967852817,19,79,11.780313575109439,0.5999999999999999,0.5205694627253808
unclassified_Halanaerobiaceae,8.74115182168778,0,0,0.0,0.0,0.0
unclassified_Halobacteriaceae,23.806477934182173,10,44,5.584650615792368,0.11827956989247311,0.23458533560622724
unclassified_Halobacteroidaceae,10.31241958126625,5,22,2.730552453576397,0.07812499999999997,0.2647829088080138
unclassified_Halomonadaceae,20.30371364314718,17,45,10.585129494962398,0.2,0.5213395776262361
unclassified_Haloplasmataceae,1.1029528367132242,0,0,0.0,0.0,0.0
unclassified_Halothiobacillaceae,0.11948895450757918,0,0,0.0,0.0,0.0
unclassified_Helicobacteraceae,6.216441552354645,4,16,2.087489575170744,0.3333333333333333,0.3358013676457798
unclassified_Heliobacteriaceae,24.586258745790115,21,49,13.778475983085418,0.26650563607085287,0.5604136898398459
unclassified_Holophagaceae,1.9862441407608082,0,0,0.0,0.0,0.0
unclassified_Hydrogenophilaceae,28.08462183559628,34,127,22.99448779183242,0.6666666666666666,0.8187572517956324
unclassified_Hyphomicrobiaceae,18.30701503414764,0,0,0.0,0.0,0.0
unclassified_Hyphomonadaceae,15.0805470586931,11,37,6.381744083057685,0.08514851485148489,0.4231772268088221
unclassified_Ignavibacteriaceae,20.102014260867513,14,49,8.124272686177497,0.18749999999999994,0.4041521700635232
unclassified_Incertae,44.08956225553595,45,119,28.96967870134213,0.2968315730961645,0.6570643304063345
unclassified_Intrasporangiaceae,13.945195055940882,17,74,11.082036182997756,1.0,0.7946849175319801
unclassified_Kiloniellaceae,32.71299623900893,33,94,22.304941594420665,0.20250340810509437,0.6818373172379398
unclassified_Kineosporiaceae,0.0,0,0,0.0,0.0,
unclassified_Kofleriaceae,28.48555887130222,8,39,4.60029111800736,0.08870967741935494,0.16149555424878545
unclassified_Ktedonobacteraceae,0.0,0,0,0.0,0.0,
unclassified_Lachnospiraceae,69.32908724554552,69,179,50.50481280605686,0.20397319742160344,0.7284794133691967
unclassified_Lactobacillaceae,26.617889609011318,23,85,15.56815894622603,0.1587743732590525,0.5848757799700066
unclassified_Legionellaceae,11.65811479568292,16,38,10.404841139718457,1.0,0.8924977427372255
unclassified_Lentisphaeraceae,6.973750027021654,7,21,4.078494721124099,0.11363636363636366,0.5848352328834392
unclassified_Leptospiraceae,0.005871857716993015,0,0,0.0,0.0,0.0
unclassified_Leptotrichiaceae,0.1050634925423676,0,0,0.0,0.0,0.0
unclassified_Leuconostocaceae,7.54838427783838,4,11,2.08753300197613,0.06666666666666665,0.27655362063441924
unclassified_Listeriaceae,0.0,0,0,0.0,0.0,
unclassified_Marinifilum,9.200959061571314,11,37,6.948748123067186,1.0,0.7552199805006521
unclassified_Marinilabiaceae,35.507548248834574,41,108,28.998152151724913,0.17337946694058554,0.816675709302928
unclassified_Mariprofundaceae,13.357059313349122,15,47,9.15294175572304,0.2941176470588235,0.6852512623475092
unclassified_Methanobacteriaceae,17.83661802569926,10,28,5.604521709301914,0.09333333333333346,0.3142143707527311
unclassified_Methanocellaceae,6.117300145561122,9,20,5.489351317230916,0.24999999999999994,0.8973486974011138
unclassified_Methanomicrobiaceae,15.749793760580175,0,0,0.0,0.0,0.0
unclassified_Methanomicrobiales,12.657398731674865,17,47,10.431278787012367,0.42857142857142855,0.8241250045246911
unclassified_Methanosarcinaceae,21.38667110737605,15,39,8.98365152208729,0.12500000000000003,0.4200584315802621
unclassified_Methermicoccaceae,14.53850535592385,18,60,12.15255628406629,1.0,0.8358875954958201
unclassified_Methylococcaceae,14.803402191080481,16,66,10.758172120452752,0.12499999999999999,0.7267364610910113
unclassified_Methylocystaceae,18.515455184551357,24,71,16.213005383579663,0.8025477707006363,0.8756471402932197
unclassified_Microbacteriaceae,25.80467637522269,23,82,13.714506787725137,0.10714285714285715,0.5314736983446002
unclassified_Micrococcaceae,16.15576306692658,14,43,8.986552890545756,0.24000000000000005,0.5562444097080541
unclassified_Micromonosporaceae,0.0,0,0,0.0,0.0,
unclassified_Moraxellaceae,4.2659585974698935,0,0,0.0,0.0,0.0
unclassified_Mycoplasmataceae,0.0,0,0,0.0,0.0,
unclassified_Nakamurellaceae,3.2818311341752286,5,18,2.730498170069665,0.5,0.8320044689794432
unclassified_Nannocystaceae,10.264004377107279,9,23,5.311692990851549,0.13461538461538464,0.5175068906535826
unclassified_Natranaerobiaceae,17.39856111915323,0,0,0.0,0.0,0.0
unclassified_Neisseriaceae,30.318459704777574,24,87,16.57907151818184,0.19298245614035056,0.5468309300544485
unclassified_Nitrosomonadaceae,10.898025071754489,4,28,2.087489575170744,0.6666666666666666,0.19154751080368693
unclassified_Nitrospiraceae,0.0,0,0,0.0,0.0,
unclassified_Nocardioidaceae,0.0,0,0,0.0,0.0,
unclassified_Oceanospirillaceae,26.807155499773824,18,74,11.890135288902403,0.26666666666666666,0.44354334009823315
unclassified_Oleiphilaceae,10.99420775319508,12,28,7.693816949782312,0.10344827586206898,0.6998064001061263
unclassified_Opitutaceae,14.975177285937058,10,29,6.213563158817384,0.16666666666666666,0.414924180206697
unclassified_Orbus,12.135169860235145,11,37,6.948748123067186,0.054545454545454536,0.5726123493200563
unclassified_Oxalobacteraceae,35.49620827560461,20,61,12.401953695479627,0.1372693726937267,0.3493881261679177
unclassified_Paenibacillaceae,2.0212188709461056,0,0,0.0,0.0,0.0
unclassified_Parachlamydiaceae,6.159698971932874,9,20,5.489351317230916,1.0,0.8911720105549886
unclassified_Pasteurellaceae,11.354875340427444,0,0,0.0,0.0,0.0
unclassified_Peptococcaceae,38.79376940771411,33,99,21.765808769642895,0.17652694610778522,0.561064549847914
unclassified_Peptostreptococcaceae,19.66404612305415,0,0,0.0,0.0,0.0
unclassified_Phycisphaeraceae,0.0,0,0,0.0,0.0,
unclassified_Planctomycetaceae,8.226379437572062,7,22,3.6096132685164743,0.06779661016949153,0.4387851661729109
unclassified_Planococcaceae,21.713421741597717,21,67,14.558913538128625,0.31560283687943286,0.6705029594776963
unclassified_Polyangiaceae,10.966058628628254,13,53,8.22451005620551,0.3333333333333333,0.7499969072511073
unclassified_Porphyromonadaceae,35.034627960665105,30,83,19.43080919642095,0.15202091292982067,0.554617255197822
unclassified_Porticoccus,0.0,0,0,0.0,0.0,
unclassified_Prevotellaceae,25.332427237330737,21,56,13.321213752387598,0.08436128539840386,0.525856193233509
unclassified_Prolixibacter,11.358997152083582,8,22,4.439178311477774,0.12169735788630882,0.39080723870623524
unclassified_Promicromonosporaceae,0.0,0,0,0.0,0.0,
unclassified_Pseudomonadaceae,14.620504621506281,7,24,3.7452472989668184,0.025000000000000015,0.25616402415123773
unclassified_Pseudomonadales,14.878923275060087,18,61,11.511979226585705,1.0,0.773710504031026
unclassified_Pseudonocardiaceae,4.04379466109771,0,0,0.0,0.0,0.0
unclassified_Puniceicoccaceae,48.95268211307846,53,135,37.35838105360112,0.206305955624757,0.7631528946116776
unclassified_Rhizomicrobium,20.35807115787552,0,0,0.0,0.0,0.0
unclassified_Rhodobacteraceae,14.172154015229523,4,13,2.087489575170744,0.0895522388059701,0.1472951516704877
unclassified_Rhodobiaceae,21.609352472999543,15,58,9.501418179513252,0.1041292639138239,0.4396900921203023
unclassified_Rhodocyclaceae,12.70083066709013,5,14,2.730498170069665,0.04150943396226417,0.21498579436578266
unclassified_Rhodospirillaceae,20.34483136385898,0,0,0.0,0.0,0.0
unclassified_Rickettsiaceae,31.2735386513896,30,77,21.220453604546123,0.2763840830449831,0.6785434114474033
unclassified_Rikenellaceae,35.6233790238869,36,105,22.094723882590923,0.20910634551286186,0.6202309968342848
unclassified_Ruminococcaceae,59.888618933567265,57,142,41.62129479824184,0.2156942575420225,0.6949783705049394
unclassified_Saprospiraceae,15.021860256975177,7,41,3.7452472989668175,0.18749999999999994,0.2493198069278915
unclassified_Sedimenticola,16.271119729578604,23,83,15.042189415915384,1.0,0.9244716814768932
unclassified_Simiduia,11.225606547468239,15,52,9.800552965413928,1.0,0.8730533111036473
unclassified_Simkaniaceae,15.146425193477711,0,0,0.0,0.0,0.0
unclassified_Sinobacteraceae,8.54848010467541,0,0,0.0,0.0,0.0
unclassified_Sphingobacteriaceae,18.566997192414256,18,48,11.647930913611813,0.09413735343383627,0.6273459726902257
unclassified_Spirochaetaceae,0.0,0,0,0.0,0.0,
unclassified_Staphylococcaceae,10.593781932660589,4,21,2.087489575170744,0.3333333333333333,0.19704856947593208
unclassified_Streptococcaceae,28.181352425595726,25,78,16.660994658227875,0.2307692307692309,0.5912063554159139
unclassified_Subdivision5,1.5435640828736072,0,0,0.0,0.0,0.0
unclassified_Succinivibrionaceae,17.82317730620534,21,55,14.439634519439453,0.17500000000000007,0.8101605157915436
unclassified_Sutterellaceae,23.96557889780252,9,33,5.311692990851548,0.07468057366362486,0.22163841789520028
unclassified_Synergistaceae,19.79063238779601,15,40,9.800552965413928,0.09200968523002413,0.4952117129646391
unclassified_Syntrophaceae,16.56258622080427,10,42,5.991330904111363,0.1509433962264151,0.3617388506986699
unclassified_Syntrophobacteraceae,13.134856909887976,11,37,6.726097081965966,0.18072289156626514,0.5120799661625953
unclassified_Syntrophomonadaceae,25.87622049452801,25,72,16.745062775959877,0.3733333333333332,0.6471216605802582
unclassified_Syntrophorhabdaceae,15.603558641045138,18,42,11.927951797168072,0.3333333333333333,0.7644379126304952
unclassified_TM7,19.340181558660923,14,61,8.807011022105732,0.22222222222222218,0.4553737510370876
unclassified_Thermaceae,2.7958735512735906,0,0,0.0,0.0,0.0
unclassified_Thermoactinomycetaceae,44.137932488945246,45,129,28.54643022168074,0.19663010650135204,0.6467550383976517
unclassified_Thermoanaerobacteraceae,35.88323750572301,37,119,23.67257715399283,0.2895778364116093,0.6597112969591246
unclassified_Thermodesulfobacteriaceae,34.3672116414709,28,114,17.839691417115326,0.27777777777777796,0.5190904517720075
unclassified_Thermofilaceae,14.39611294122205,12,48,7.4706205168598725,0.3333333333333333,0.5189331694855202
unclassified_Thermoleophilaceae,24.865824727441606,21,78,13.3657107175482,0.49999999999999994,0.5375132682728988
unclassified_Thermomicrobiaceae,10.246556915726618,14,47,8.859209722831235,0.3333333333333333,0.8646035732484875
unclassified_Thermoplasmataceae,24.04389773485168,28,101,18.606097725870427,1.0,0.7738386650555766
unclassified_Thermoplasmatales,20.196998450552897,19,41,12.774029208039961,0.18351841028638238,0.6324716635154403
unclassified_Thermotogales,7.983359523355726,4,17,2.08753300197613,0.12500000000000003,0.26148553073038305
unclassified_Thiohalobacter,1.0341300053299396,0,0,0.0,0.0,0.0
unclassified_Thiohalophilus,0.0,0,0,0.0,0.0,
unclassified_Thiotrichaceae,20.829384798974328,20,53,13.470982579541007,0.20370370370370378,0.6467297382784123
unclassified_Thiotrichales,10.617352131446074,6,17,3.395433523892403,0.16666666666666663,0.31980040615173116
unclassified_Veillonellaceae,66.24633572356284,69,185,49.74518774395207,0.33158667253779456,0.7509122912327126
unclassified_Verrucomicrobiaceae,24.930910400109745,20,44,13.320128842053894,0.1785714285714287,0.5342816859987295
unclassified_Vibrionaceae,22.40581463015214,22,49,14.639144130097426,0.18181818181818188,0.6533636188526311
unclassified_Victivallaceae,30.561278664887034,21,78,12.486016718029031,0.18650088809946766,0.40855675100972366
unclassified_Waddliaceae,17.375806859678846,7,19,3.7452472989668184,0.12499999999999999,0.2155437919638594
unclassified_Xanthomonadaceae,7.435286937078484,9,22,5.4892536069187985,0.12500000000000006,0.7382705809973311
